ZIP,Territory_Name,Region_Name
53092,"Milwaukee, WI",West
53093,"Milwaukee, WI",West
53095,"Milwaukee, WI",West
53097,"Milwaukee, WI",West
53098,"Milwaukee, WI",West
53099,"Milwaukee, WI",West
53101,"Milwaukee, WI",West
53102,"Milwaukee, WI",West
53103,"Milwaukee, WI",West
53104,"Milwaukee, WI",West
53105,"Milwaukee, WI",West
53108,"Milwaukee, WI",West
53109,"Milwaukee, WI",West
53110,"Milwaukee, WI",West
53114,"Milwaukee, WI",West
53115,"Milwaukee, WI",West
53118,"Milwaukee, WI",West
53119,"Milwaukee, WI",West
53120,"Milwaukee, WI",West
53121,"Milwaukee, WI",West
53122,"Milwaukee, WI",West
53125,"Milwaukee, WI",West
53126,"Milwaukee, WI",West
53127,"Milwaukee, WI",West
53128,"Milwaukee, WI",West
53129,"Milwaukee, WI",West
53130,"Milwaukee, WI",West
53132,"Milwaukee, WI",West
53137,"Milwaukee, WI",West
53138,"Milwaukee, WI",West
53139,"Milwaukee, WI",West
53140,"Milwaukee, WI",West
53141,"Milwaukee, WI",West
53142,"Milwaukee, WI",West
53143,"Milwaukee, WI",West
53144,"Milwaukee, WI",West
53146,"Milwaukee, WI",West
53147,"Milwaukee, WI",West
53148,"Milwaukee, WI",West
53149,"Milwaukee, WI",West
53150,"Milwaukee, WI",West
53151,"Milwaukee, WI",West
53152,"Milwaukee, WI",West
53153,"Milwaukee, WI",West
53154,"Milwaukee, WI",West
53156,"Milwaukee, WI",West
53157,"Milwaukee, WI",West
53158,"Milwaukee, WI",West
53159,"Milwaukee, WI",West
53167,"Milwaukee, WI",West
53168,"Milwaukee, WI",West
53170,"Milwaukee, WI",West
53171,"Milwaukee, WI",West
53172,"Milwaukee, WI",West
53176,"Milwaukee, WI",West
53177,"Milwaukee, WI",West
53178,"Milwaukee, WI",West
53179,"Milwaukee, WI",West
53181,"Milwaukee, WI",West
53182,"Milwaukee, WI",West
53183,"Milwaukee, WI",West
53184,"Milwaukee, WI",West
53185,"Milwaukee, WI",West
53186,"Milwaukee, WI",West
53187,"Milwaukee, WI",West
53188,"Milwaukee, WI",West
53189,"Milwaukee, WI",West
53190,"Milwaukee, WI",West
53191,"Milwaukee, WI",West
53192,"Milwaukee, WI",West
53194,"Milwaukee, WI",West
53195,"Milwaukee, WI",West
53201,"Milwaukee, WI",West
53202,"Milwaukee, WI",West
53203,"Milwaukee, WI",West
53204,"Milwaukee, WI",West
53205,"Milwaukee, WI",West
53206,"Milwaukee, WI",West
53207,"Milwaukee, WI",West
53208,"Milwaukee, WI",West
53209,"Milwaukee, WI",West
53210,"Milwaukee, WI",West
